forecast_origin,validation_start,validation_end,model,rmsle,rows,training_origins,training_examples,fit_seconds
2017-03-31,2017-04-01,2017-04-16,Seasonal baseline,0.566702,28512,16,456192,0.000000
2017-03-31,2017-04-01,2017-04-16,Ridge,0.710732,28512,16,456192,1.379814
2017-03-31,2017-04-01,2017-04-16,HistGradientBoosting (80 iter),0.500388,28512,16,456192,2.166980
2017-03-31,2017-04-01,2017-04-16,HistGradientBoosting (120 iter),0.499288,28512,16,456192,2.201587
2017-05-15,2017-05-16,2017-05-31,Seasonal baseline,0.511431,28512,16,456192,0.000000
2017-05-15,2017-05-16,2017-05-31,Ridge,0.623045,28512,16,456192,1.278099
2017-05-15,2017-05-16,2017-05-31,HistGradientBoosting (80 iter),0.425129,28512,16,456192,1.554299
2017-05-15,2017-05-16,2017-05-31,HistGradientBoosting (120 iter),0.421393,28512,16,456192,2.200305
2017-06-30,2017-07-01,2017-07-16,Seasonal baseline,0.427461,28512,16,456192,0.000000
2017-06-30,2017-07-01,2017-07-16,Ridge,0.603951,28512,16,456192,1.427127
2017-06-30,2017-07-01,2017-07-16,HistGradientBoosting (80 iter),0.423265,28512,16,456192,1.562668
2017-06-30,2017-07-01,2017-07-16,HistGradientBoosting (120 iter),0.421821,28512,16,456192,2.093305

