family,historical_zero_sales_fraction,ridge_rmsle,hgb_rmsle,mean_paired_hgb_minus_ridge_squared_log_loss,hgb_better
BOOKS,0.969347,0.344157,0.092934,-0.109807,True
BABY CARE,0.941935,0.472793,0.274586,-0.148135,True
SCHOOL AND OFFICE SUPPLIES,0.743294,1.332470,0.972765,-0.829205,True
HOME APPLIANCES,0.734046,0.597807,0.320417,-0.254706,True
LADIESWEAR,0.601175,0.798239,0.513826,-0.373168,True
MAGAZINES,0.569444,0.649123,0.538865,-0.130985,True
PET SUPPLIES,0.550271,0.629840,0.488519,-0.158047,True
HARDWARE,0.479616,0.700680,0.533866,-0.205939,True
LAWN AND GARDEN,0.469480,0.758452,0.426439,-0.393400,True
PLAYERS AND ELECTRONICS,0.452882,0.625572,0.468795,-0.171572,True
CELEBRATION,0.440381,0.643330,0.563685,-0.096133,True
HOME CARE,0.413014,0.403074,0.241726,-0.104037,True
HOME AND KITCHEN II,0.350464,0.597089,0.479350,-0.126739,True
HOME AND KITCHEN I,0.349765,0.594458,0.497703,-0.105672,True
PRODUCE,0.286271,0.445141,0.182478,-0.164852,True
BEAUTY,0.264455,0.581005,0.509875,-0.077594,True
SEAFOOD,0.194622,0.827537,0.523855,-0.410393,True
"LIQUOR,WINE,BEER",0.180356,0.754528,0.489770,-0.329438,True
LINGERIE,0.161171,0.750257,0.659115,-0.128452,True
AUTOMOTIVE,0.128797,0.617435,0.526953,-0.103546,True
GROCERY II,0.122125,0.799948,0.636249,-0.235104,True
FROZEN FOODS,0.081690,0.515598,0.317592,-0.164977,True
PREPARED FOODS,0.081612,0.551196,0.304681,-0.210987,True
POULTRY,0.081535,0.625725,0.241597,-0.333163,True
PERSONAL CARE,0.081424,0.428295,0.236839,-0.127344,True
GROCERY I,0.081402,0.460474,0.205275,-0.169898,True
EGGS,0.081390,0.659839,0.321574,-0.331978,True
BEVERAGES,0.081390,0.412304,0.264245,-0.100169,True
DELI,0.081390,0.493809,0.201809,-0.203120,True
DAIRY,0.081390,0.399100,0.183880,-0.125469,True
CLEANING,0.081390,0.445048,0.338321,-0.083607,True
MEATS,0.081390,0.606627,0.241339,-0.309752,True
BREAD/BAKERY,0.081379,0.587516,0.209982,-0.301083,True

