horizon,baseline_rmsle,ridge_rmsle,hgb_rmsle,mean_paired_hgb_minus_ridge_squared_log_loss,rows
1,0.455251,0.614750,0.400709,-0.217351,1782
2,0.511371,0.718221,0.514956,-0.250661,1782
3,0.525320,0.614160,0.405199,-0.213007,1782
4,0.511162,0.600282,0.411100,-0.191336,1782
5,0.509516,0.635489,0.426850,-0.221645,1782
6,0.466795,0.610222,0.388472,-0.221460,1782
7,0.476894,0.642643,0.410371,-0.244585,1782
8,0.516828,0.624237,0.416402,-0.216281,1782
9,0.531432,0.621237,0.432593,-0.198798,1782
10,0.522924,0.602966,0.410691,-0.194901,1782
11,0.526094,0.620433,0.429110,-0.200802,1782
12,0.577160,0.674372,0.492262,-0.212456,1782
13,0.558547,0.667596,0.453070,-0.240412,1782
14,0.535996,0.666584,0.460593,-0.232188,1782
15,0.544220,0.634313,0.433368,-0.214546,1782
16,0.545583,0.606985,0.432988,-0.180952,1782

